,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
mohamed_almukhaini,7.9672839818143295,7.529409394875176,7.2082366019873785,8.687520486580985,7.864117894056881,8.401576862472645,8.041142490797906,7.525473474706246,7.942694839152553,8.012320582299491,7.624719291890418,8.58982324813452,7.602242946122902,7.256242781614856,7.01271674391656,7.321488604570273
hazzamashen,6.675405320203609,8.281208207258548,7.019133440531596,7.400825391482862,7.691410566413792,6.482816530708125,5.941063115267323,6.091065638868663,5.649500829749612,5.57594176031727,5.799264439997697,6.576723066765946,5.57594176031727,5.393228538826983,5.387161507694603,4.661741436415349
hala_al_balushi,7.490183819211222,6.568883629815045,6.917080143375573,6.919897264698106,6.160160678432422,6.3913655032848915,6.724010536285,6.472082488514737,6.2439301697243215,6.687769885249111,7.363751141200095,6.939407602231263,6.980029516722714,7.237719113278374,6.882669593622072,6.800841772533497
marvatnaserofficial,6.508137764391895,5.815553639485689,6.19166007209632,6.233140796438934,6.059540365558888,6.355805119556705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
najl.94,0.0,7.703455506853634,7.222028265550526,7.336711562995394,6.83800165025311,6.673626968136972,7.2071681384546595,8.297929201045866,8.668908660897914,7.535676239585184,0.0,7.534113042969846,7.920221829730758,7.445181474892502,7.152304427517983,6.74914929350918
fadwasalam,7.323403627866539,6.601803122649568,6.970691125158042,6.407555703677193,6.278246684710752,6.308954802794228,5.761659438599695,6.291151409736965,5.983212164708362,5.271472810322015,5.9658558806974895,5.882086389405589,5.457742850436758,5.446304923042935,5.110144884184162,5.491325194969092
thenaeema,7.552719043048446,7.629728477231652,6.929697897625924,6.703455506853635,7.7400659584874845,6.9826823950491645,7.323403627866539,6.776928471556043,6.298818549811737,6.607506460684842,7.397265660365887,6.708632235987615,6.59989508212216,8.232193821297075,6.950395209080827,6.5510271976754675
tajn00r,6.363014516190344,6.770458219482673,6.211222509688699,6.456867434292536,8.02609778093184,8.854770397338267,7.3619086056196,7.251130119080594,6.691275951976742,0.0,6.824220852081436,6.628156743803145,5.990074877426544,5.677535361521109,0.0,6.921302986789096
hoori1992,6.487079509878948,6.5102204714262975,6.251949825360523,5.795152214905745,5.6589293614425085,6.5510271976754675,7.38651323764018,6.810256168305931,7.097970507105804,6.673626968136972,7.046908675849527,6.706909503188092,6.043414315543441,6.036893671774012,6.0690980570034005,6.157249522342818
wani_daily,6.474238122519678,6.827298971769193,8.456128718088006,9.002790504015733,7.774195937524862,6.918489651924515,7.1306781671414265,8.371440504319938,7.438346773446155,7.105065855906345,6.970691125158042,8.480792480877387,7.311860570341798,6.615062882966399,6.45905460319599,7.131827601567124
amal.almaqbali,6.432501975413191,5.457742850436758,0.0,0.0,0.0,6.1003409723081194,7.523104797860948,6.251949825360523,0.0,0.0,6.618820732387684,6.353390908706673,0.0,7.929912268773621,6.452479335874818,5.878287619574555
oman_events,8.040660538249949,7.723227378399068,8.354434416828882,7.782248820827397,7.76670710457299,7.5434573902204916,6.755752217237721,8.283886300321393,7.973984462329521,7.99584684459325,7.47539701207506,7.2824333287790735,7.143253041892472,7.860115747920061,7.314758292375943,5.933870235136447
oman.news,0.0,0.0,6.745832143539105,7.404373055691546,7.9563686811177075,8.61879853622986,6.635566048657529,7.733621603522973,6.939407602231263,7.253178182237917,8.366861907344573,6.807127436709963,7.046908675849527,7.522314046074635,8.2595331142491,7.273441350355794
news.oman,8.322888389288368,9.687440538531643,8.337510491472608,7.957934997108846,9.091399178116488,8.93979967626525,9.064200329711639,8.429873093639124,9.318234103068164,9.04683495108183,8.59181805325194,7.988778877955147,8.524198699528924,9.199384202708398,9.034971587047753,8.812518202976294
insta__oman,8.595796292946272,9.500978390473573,9.0878605105375,9.138035802190238,8.968198407332876,8.28731952354047,8.709121016228178,9.341301268561917,8.652380880762196,10.238450880740078,9.23601597476591,8.800692541114538,0.0,9.707926078169786,9.031797644918383,9.455081060515187
be4_and_after_om,6.2704267733139964,8.555905998464851,7.662062652247204,7.395481244009644,7.786559459210929,6.891378880549821,6.241243236439946,7.496689263246827,7.446883198746132,7.655814514647626,6.65204764817169,6.677180655556216,7.559611888641382,6.4257572048757154,5.565731338457712,7.91371132699688
alialhabsi,5.993489431644387,6.283427685090831,8.294152365696824,9.646993172907736,7.919680832076221,9.250529482923133,7.666896655942642,6.421236420570099,7.280441777389512,9.039436122532315,9.24520578887988,7.382904406687018,8.719000270911273,9.210004440143202,7.3243598270553925,6.434740607153168
shihabalhabsi_,2.834136854346576,4.35252042767552,5.061458899440614,4.46114999378047,4.368746488196983,2.5095411313775715,3.659304741625656,0.7254200712792533,0.0,3.487351750223697,3.409793315377745,2.4097933153777453,3.024947291775423,3.627100356396267,3.281482636598997,2.29952722049617
