,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hazzamashen,19.555896721086263,24.91610057297784,19.632427670849815,19.654958722415863,19.66764453322001,19.69057290901552,25.047299168363814,25.069023358521438,25.080168745873568,25.10307863682413,25.015038212471715,24.849931563905308,24.853599999999997,24.879435725544,24.887686762262746,24.90001941312219
hala_al_balushi,16.07417076113578,21.776281932624325,16.17264988128898,16.198033395450256,16.21734530243825,16.243101704626227,21.935212526227133,21.956383418298,21.984726529406956,22.022324428458862,21.9644778671401,21.82877121498398,21.850899999999996,21.88895198836107,21.91362350788568,21.946694472738365
marvatnaserofficial,4.259630719154103,11.087159894490833,4.325952121765069,4.348273964516324,4.3699915357860455,4.393432530357777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
najl.94,24.09129556947066,29.063118401300954,24.28362842206914,24.348209546403265,24.40280801364011,24.48309335401611,29.41416653009141,29.489817152552085,29.56658354329854,29.665334302518797,29.646049403645534,29.53455550371923,29.627899999999997,29.73251730104127,29.82150496449951,29.893178997732065
fadwasalam,22.692605862662898,27.770151031106227,22.829345533340536,22.865088610531334,22.894168363586285,22.92955700953678,27.979972585329406,28.002437830635753,28.025383092923498,28.062237437083567,27.975310113664424,27.79597549428534,27.807799999999997,27.835895755370405,27.85774643145522,27.88538259273995
thenaeema,64.1022068547422,65.23311900474496,64.35003323938155,64.40354538515207,64.42764275698478,64.46499504131619,65.56436469502879,65.6092581632366,65.64593949814586,65.69399302773414,65.45156437424495,64.9893050114876,64.98849999999999,65.05953278876936,65.0908884689379,65.1388464569822
tajn00r,45.9271579881884,48.784249982829365,46.112406755345695,46.145044043959814,46.16010345133935,46.19928895584054,49.02964186326138,49.06734386413151,49.09984600441134,49.1643011105185,49.01322297649956,48.68964231919928,48.713699999999996,48.77208386802144,48.792693540966425,48.82867946047029
hoori1992,39.52717406545714,43.01986292266803,39.7468583810868,39.80440291406385,39.840404468276965,39.90320199768984,43.35027831626812,43.400260844879554,43.445778520739616,43.52093885045857,43.40778181342482,43.137228702601995,43.170899999999996,43.22732033591166,43.275953335852506,43.32671258902637
wani_daily,53.27978531084462,55.47725754619032,53.55723495776613,53.64675315826039,53.70229571828992,53.8020814137839,55.94983738332523,56.02256571029525,56.09352956994071,56.19741188684959,56.040001756292256,55.68807199818212,55.729499999999994,55.81038808335487,55.87083196807276,55.9240481363148
amal.almaqbali,33.288770417394176,37.348580003768184,33.43061720709926,33.454704044907864,33.46515285084569,33.489512662451126,37.533044550044785,37.56224140906102,37.58739709084237,37.62487664909384,37.49973328679076,37.243540492046115,37.250499999999995,37.29198465729454,37.32232189746955,37.35118049390575
oman_events,34.54617495649682,38.498007619883715,34.7190892613553,34.75890667440906,34.79439214242457,34.839033476335736,38.76579029324849,38.796501400946184,38.82601879749997,38.881497414061116,38.76639148190913,38.51221779268237,38.53789999999999,38.58488553684224,38.62218591727822,38.65073157283253
oman.news,42.892035893004326,0.0,43.11350034791289,43.17220455966853,43.2239734722615,43.29287811752162,46.41536374730364,46.4595273800485,46.50371431758739,46.57569470617559,46.446149188063565,46.142785641014086,46.1782,46.23661718186819,46.28224545096557,46.3262927373042
news.oman,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891,75.4891
insta__oman,56.549750786602495,58.37195910824978,56.695789195445876,56.7001058804185,56.69923180017798,56.71307561470797,58.513677640488396,58.520097374464534,58.524572353159385,58.57651405642779,58.361603837225594,57.939164029727344,57.934,57.979399427332915,58.00674466405467,58.028960453984794
be4_and_after_om,47.940945552187564,50.615062728112115,48.140934044513294,48.18907387030401,48.22035728773204,48.27499326931051,50.911509709027754,50.94936290826896,50.984366673184134,51.05034502792712,50.897087332723736,50.56205158030861,50.58869999999999,50.663902066771385,50.688891574020666,50.742964254698336
alialhabsi,65.25200272230937,66.25393580817534,65.55722108820162,65.687955177011,65.68646321626507,65.70798062196421,66.64852596442884,66.66611223491225,66.70572331718697,66.76538817519578,66.51386434981679,66.03283310022444,66.0282,66.09105154003697,66.1013933695299,66.13133103675115
shihabalhabsi_,0.0,7.2118891480295195,0.0,0.0,0.0,0.0,7.2272700992580745,7.228760547068015,7.229236012192133,7.233207046907915,7.204937227602501,7.153463565452892,7.1511,7.154685308438223,7.156108248576334,7.158343839838724
